male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,right2012,right2016
0,53,9,0,10,1,1,0,0,0.75,1,0,0
0,41,9,0,5,NA,NA,0,0,0,1,NA,NA
0,36,10,0,5,1,NA,0,0,0.25,1,0,NA
0,23,9,0,5,NA,NA,1,0,0.25,0.5,NA,NA
1,55,12,0,7,NA,NA,1,0,0.5,1,NA,NA
0,54,10,1,8,1,1,0,0,0.5,1,0,0
1,47,10,0,4,1,1,1,0,0.5,1,0,0
1,80,14,0,5,1,1,0,0,0.75,1,0,0
0,59,9,0,7,1,1,0,0,0.75,1,0,0
1,23,12,0,7,1,NA,0,0,0,0.5,0,NA
1,63,13,0,8,NA,0,0,0,1,1,NA,1
1,59,11,0,10,NA,NA,0,0,1,1,NA,NA
0,82,9,0,5,NA,0,0,0,1,1,NA,1
1,49,13,0,5,0,0,1,0,0.5,0.5,1,1
0,76,7,0,NA,NA,NA,0,0,0.75,0.5,NA,NA
0,33,14,0,2,1,1,0,0,0.5,1,0,0
1,81,9,0,9,0,0,0,1,0,1,1,1
1,62,9,1,4,NA,0,0,0,1,1,NA,1
0,77,9,0,NA,1,0,1,0,0.5,1,0,1
1,64,10,0,4,1,1,0,0,0.5,1,0,0
0,30,13,0,7,0,0,0,0,0.5,1,1,1
0,62,11,0,8,0,0,1,0,0.5,0.5,1,1
0,38,9,0,NA,NA,NA,0,0,0.5,0.5,NA,NA
0,45,13,0,5,0,NA,1,0,0.5,0.5,1,NA
0,76,8,0,10,NA,NA,1,0,0.75,1,NA,NA
0,31,10,0,NA,NA,0,1,0,0.5,1,NA,1
0,42,14,1,2,1,1,0,0,0.75,0.5,0,0
1,23,12,0,1,1,1,0,0,0,1,0,0
1,21,10,0,5,NA,NA,0,0,0.5,1,NA,NA
1,44,13,0,3,1,1,0,0,0.25,0.5,0,0
0,51,12,0,7,0,0,1,0,0.5,0.5,1,1
0,59,13,1,3,1,1,0,0,0.25,0.5,0,0
0,81,10,0,NA,NA,0,1,0,1,1,NA,1
1,77,14,0,5,1,NA,0,0,0.5,1,0,NA
0,68,10,0,5,1,1,0,0,0.5,0.5,0,0
1,32,5,0,5,NA,NA,1,0,0.75,1,NA,NA
1,65,9,0,9,1,1,0,0,0.75,1,0,0
1,85,9,0,5,0,0,1,0,0.75,0.5,1,1
1,56,9,0,6,NA,NA,0,0,0.75,1,NA,NA
1,58,14,0,2,1,1,1,0,0.25,0.5,0,0
0,50,9,0,5,1,0,0,0,0.75,1,0,1
1,37,12,0,3,1,1,1,0,0.25,1,0,0
0,69,10,0,10,1,NA,0,0,0.75,1,0,NA
1,66,8,0,7,1,1,0,0,0.5,1,0,0
0,46,13,0,8,0,0,0,0,1,0.5,1,1
1,53,11,0,5,1,1,0,0,0.5,1,0,0
0,46,13,0,5,0,0,1,0,1,0.5,1,1
0,37,14,0,2,1,NA,0,1,0.25,0.5,0,NA
1,18,7,0,5,NA,NA,0,0,1,1,NA,NA
0,67,12,0,5,1,1,1,0,0.5,1,0,0
0,28,13,0,3,1,NA,1,0,0,1,0,NA
0,65,9,0,9,0,0,0,0,0.75,1,1,1
1,45,13,0,5,1,1,0,0,1,1,0,0
1,18,7,0,7,NA,NA,1,0,0.5,0,NA,NA
1,33,13,0,7,0,0,0,0,1,0.5,1,1
1,24,10,0,7,NA,1,1,0,0.25,0.5,NA,0
1,29,10,0,8,0,0,0,0,0.5,0,1,1
1,49,16,0,3,1,1,0,0,0,1,0,0
0,82,5,0,NA,NA,NA,0,0,1,1,NA,NA
0,32,10,0,NA,NA,NA,0,0,0,1,NA,NA
1,47,13,0,6,0,0,0,0,1,1,1,1
0,53,11,0,6,NA,0,0,0,1,1,NA,1
0,19,10,0,5,NA,NA,0,0,0.75,0.5,NA,NA
0,47,11,0,7,1,1,0,0,0.5,1,0,0
0,71,11,0,5,1,1,0,0,0.25,1,0,0
1,57,9,0,NA,NA,NA,0,0,0.5,1,NA,NA
1,64,9,0,8,0,NA,0,0,0.5,0.5,1,NA
0,59,12,0,3,1,1,0,0,0.5,0.5,0,0
0,71,8,0,5,NA,NA,0,0,1,1,NA,NA
0,48,13,0,5,NA,NA,0,0,0,1,NA,NA
0,NA,13,0,2,1,NA,0,0,0.25,1,0,NA
0,61,9,0,10,0,NA,0,0,1,1,1,NA
0,58,10,0,5,1,NA,0,0,0.5,1,0,NA
1,36,7,0,5,NA,NA,0,0,0.75,1,NA,NA
1,19,7,0,NA,NA,0,0,0,0,0.5,NA,1
0,47,13,0,10,0,0,0,0,1,NA,1,1
0,31,13,0,10,0,0,0,0,1,0,1,1
0,72,10,0,6,1,1,0,0,0.5,1,0,0
